Product Name,Prices,Description,Elitan Prices
NC7NP34,$0.24,TinyLogic ULP Triple Buffer,16
NC7NZ17,$0.1303,TinyLogic UHS Triple Buffer with Schmitt Trigger Inputs,17
NC7NZ34,$0.1187,TinyLogic UHS Triple Buffer,"8,"
NL37WZ07,$0.12,"Triple Buffer, Open Drain",11
NL37WZ17,$0.128,Triple Non-Inverting Buffer with Schmitt Trigger Inputs,33
NLU3G16,$0.1051,Triple Non-Inverting Buffer,32
NLX3G16,$0.112,Triple Buffer,"9,"
