Product Name,Prices,Description
NC7NP34,$0.24,TinyLogic ULP Triple Buffer
NC7NZ17,$0.1303,TinyLogic UHS Triple Buffer with Schmitt Trigger Inputs
NC7NZ34,$0.1187,TinyLogic UHS Triple Buffer
NL37WZ07,$0.12,"Triple Buffer, Open Drain"
NL37WZ17,$0.128,Triple Non-Inverting Buffer with Schmitt Trigger Inputs
NLU3G16,$0.1051,Triple Non-Inverting Buffer
NLX3G16,$0.112,Triple Buffer
