Product Name,Prices,Description,Elitan Prices
NL27WZ16,$0.06,Dual Buffer,41
NL27WZ17,$0.04,Dual Non-Inverting Buffer withSchmitt Trigger Input,30
74AC240,$0.35,Octal Buffer/Line Driver with 3-STATE Outputs,16
