Product Name,Prices,Description
NL27WZ16,$0.06,Dual Buffer
NL27WZ17,$0.04,Dual Non-Inverting Buffer withSchmitt Trigger Input
74AC240,$0.35,Octal Buffer/Line Driver with 3-STATE Outputs
